Entry Number,Expense Date,Expense Account,Paid Through,Vendor,Expense Description,Currency Code,Exchange Rate,Expense Amount,Is Billable,Customer Name,Reference#,Project Name,Mileage Rate,Distance,Start Odometer Reading,End Odometer Reading,Mileage Unit,Mileage Type,Employee Email,Expense Reference ID
1,8/1/2025,Roof and Gutters,Petty Cash,Lowe's,Roofing material,USD,1,1677.29,,,,,,,,,,,,
3,8/1/2025,Construction Administrative Costs,Petty Cash,Portable Toilet,National,USD,1,151.55,,,,,,,,,,,,
4,8/2/2025,Roof and Gutters,Chase x1635,Roofing material advance,Alamos Remodeling,USD,1,9799.31,,,,,,,,,,,,
5,8/3/2025,Site Cleaning Service,Petty Cash,Rico's Concrete Works,Site cleaning,USD,1,600,,,,,,,,,,,,
6,8/4/2025,Construction Administrative Costs,Chase x1635,Site camera,Cruz Communications,USD,1,750,,,,,,,,,,,,
7,8/5/2025,Plumbing Finishes,Petty Cash,Lowe's,Sink facuets,USD,1,3547.14,,,,,,,,,,,,
8,8/5/2025,Plumbing Finishes,Petty Cash,Tub filler,Reece,USD,1,5361.37,,,,,,,,,,,,
9,8/6/2025,Plumbing Finishes,Petty Cash,Water heaters,Lowe's,USD,1,3455.03,,,,,,,,,,,,
10,8/9/2025,Framing and Cornice Work,Petty Cash,Screws,Lowe's,USD,1,40.03,,,,,,,,,,,,
11,8/11/2025,Framing and Cornice Work,Chase x1635,Framing labor,R L Framing,USD,1,12000,,,,,,,,,,,,
12,8/12/2025,Framing and Cornice Work,Petty Cash,Screws,Lowe's,USD,1,40.03,,,,,,,,,,,,
13,8/12/2025,Framing and Cornice Work,Petty Cash,"Flashing, Hardie trims, lumber",Home Depot,USD,1,1684.8,,,,,,,,,,,,
14,8/12/2025,Hard Finishes,Petty Cash,Bathroom floor tiles,Daltile,USD,1,2738.31,,,,,,,,,,,,
15,8/14/2025,Framing and Cornice Work,Petty Cash,Trex screws,Home Depot,USD,1,165.33,,,,,,,,,,,,
16,8/16/2025,HVAC,Chase x1635,AC advance,Simply Air,USD,1,10000,,,,,,,,,,,,
17,8/19/2025,Framing and Cornice Work,Petty Cash,Hardie,Home Depot,USD,1,1181.98,,,,,,,,,,,,
18,8/19/2025,Site Cleaning Service,Chase x1635,Dumpsters,Jose Portillo,USD,1,750,,,,,,,,,,,,
19,8/20/2025,Framing and Cornice Work,Petty Cash,Trex and hardie trims,Lowe's,USD,1,3119.66,,,,,,,,,,,,
20,8/21/2025,Framing and Cornice Work,Chase x1635,Delivery hotshot,Kimberly LLanes,USD,1,200,,,,,,,,,,,,
21,8/21/2025,Framing and Cornice Work,Petty Cash,Screws,Lowe's,USD,1,40.03,,,,,,,,,,,,
22,8/22/2025,HVAC,Chase x1635,AC work,Simply Air,USD,1,15000,,,,,,,,,,,,
23,8/25/2025,Electrical,Chase x1635,Electrical work,WAV Construction,USD,1,11500,,,,,,,,,,,,
24,8/26/2025,Hard Finishes,Chase x1635,Bathroom countertops,Expo Granite,USD,1,5600,,,,,,,,,,,,
25,8/27/2025,HVAC,Chase x1635,HVAC rough in finish,Simply Air,USD,1,15000,,,,,,,,,,,,
26,8/29/2025,Plumbing Finishes,Petty Cash,Water heaters and drywall for firewall,Home Depot,USD,1,5632.07,,,,,,,,,,,,
